CODEX,CODASS,CR,CURS,Q,APR,NP,NC,NF,GR
227332,240025,7.5,2010,2,S,7.7,7.7,7.7,51
230686,240025,7.5,2010,2,S,8.8,8.8,8.8,51
232356,240025,7.5,2010,2,S,5.7,5.7,5.7,51
227742,240025,7.5,2010,2,N,3.7,3.7,3.7,42
228884,240025,7.5,2010,2,S,5.4,5.4,5.4,42
227522,240025,7.5,2010,2,N,0.4,0.4,0.4,42
232094,240025,7.5,2010,2,S,8,8,8,42
226888,240025,7.5,2010,2,S,6.9,6.9,6.9,43
226793,240025,7.5,2010,2,N,0.6,0.6,0.6,43
229180,240025,7.5,2010,2,N,0,0,0,43
227908,240025,7.5,2010,2,N,2.6,2.6,2.6,43
228695,240025,7.5,2010,2,N,1.4,1.4,1.4,43
239833,240025,7.5,2010,2,N,1.4,1.4,1.4,52
239834,240025,7.5,2010,2,S,6.5,6.5,6.5,52
228060,240025,7.5,2010,2,N,2.4,2.4,2.4,22
226410,240025,7.5,2010,2,S,5.1,5.1,5.1,22
227756,240025,7.5,2010,2,S,4.7,4.7,5,22
227133,240025,7.5,2010,2,S,8.5,8.5,8.5,22
227703,240025,7.5,2010,2,N,2.4,2.4,2.4,23
226455,240025,7.5,2010,2,S,5.4,5.4,5.4,33
227601,240025,7.5,2010,2,N,2.6,2.6,2.6,33
231199,240025,7.5,2010,2,S,5.1,5.1,5.1,13
228429,240025,7.5,2010,2,N,0.2,0.2,0.2,33
227182,240025,7.5,2010,2,S,6,6,6,41
227422,240025,7.5,2010,2,N,0,0,0,41
228497,240025,7.5,2010,2,S,4.5,4.5,5,41
228324,240025,7.5,2010,2,S,6.7,6.7,6.7,41
232343,240025,7.5,2010,2,S,6.7,6.7,6.7,41
228436,240025,7.5,2010,2,N,4,4,4,13
228454,240025,7.5,2010,2,S,8,8,8,33
227320,240025,7.5,2010,2,N,0.5,0.5,0.5,12
227829,240025,7.5,2010,2,N,0.3,0.3,0.3,13
226750,240025,7.5,2010,2,N,0,0,0,11
230199,240025,7.5,2010,2,S,9.6,9.6,9.6,11
230188,240025,7.5,2010,2,S,6.3,6.3,6.3,11
227231,240025,7.5,2010,2,S,9,9,9,11
228721,240025,7.5,2010,2,N,0,0,0,12
227383,240025,7.5,2010,2,N,4.4,4.4,4.4,12
227082,240025,7.5,2010,2,S,6.2,6.2,6.2,23
227261,240025,7.5,2010,2,S,6.8,6.8,6.8,23
227264,240025,7.5,2010,2,S,7,7,7,23
226410,240022,6,2010,2,S,7,7,7,22
227659,240022,6,2010,2,S,5,5,5,23
232799,240022,6,2010,2,N,3.5,3.5,3.5,53
228459,240012,6,2010,2,S,5.9,5.9,5.9,31
227338,240022,6,2010,2,S,7.9,7.9,7.9,52
227128,240022,6,2010,2,S,5.3,5.3,5.3,52
228745,240022,6,2010,2,S,6.8,6.8,6.8,52
229989,240022,6,2010,2,S,6.7,6.7,6.7,52
228736,240025,7.5,2010,2,S,8.1,8.1,8.1,52
226684,240025,7.5,2010,2,N,1,1,1,52
232772,240012,6,2010,2,S,5.2,5.2,5.2,32
228474,240022,6,2010,2,S,6.5,6.5,6.5,33
227520,240022,6,2010,2,S,5.1,5.1,5.1,41
228122,240022,6,2010,2,S,5,5,5,42
233204,240022,6,2010,2,N,3.7,3.7,3.7,42
228951,240022,6,2010,2,N,3.7,3.7,3.7,43
230833,240022,6,2010,2,N,4.7,4.7,4.7,43
228884,240022,6,2010,2,N,2.4,2.4,2.4,43
228045,240022,6,2010,2,S,6.7,6.7,6.7,51
230686,240022,6,2010,2,S,7.7,7.7,7.7,51
230992,240022,6,2010,2,S,4,4,5,51
226889,240025,7.5,2010,2,S,6,6,6,52
227284,240025,7.5,2010,2,S,6,6,6,52
227728,240025,7.5,2010,2,S,7.8,7.8,7.8,52
227290,240022,6,2010,2,S,7.1,7.1,7.1,41
227908,240011,6,2010,2,N,3.2,3.2,3.2,22
228100,240012,6,2010,2,N,0,0,0,21
232799,240011,6,2010,2,N,2.6,2.6,2.6,21
227855,240025,7.5,2010,2,S,5.9,5.9,5.9,31
