CODEX,SEX,CPF,ANY,SELE,CPE
230661,D,08328,2010,10.05,08034
230310,H,08390,2010,12.336,08390
228108,H,17310,2010,10.294,17310
226494,H,08005,2010,11.028,08005
228260,H,08401,2010,10.47,08401
228315,D,08029,2010,12.074,08028
228439,H,08700,2010,10.694,08700
229037,H,99999,2010,10.255,
228188,D,08818,2010,10.556,08810
228204,H,08970,2010,9.938,08960
227829,D,08820,2010,11.108,08902
227008,H,08025,2010,10.44,08009
228474,H,08105,2010,11.538,08100
228229,H,08350,2010,12.494,08350
229400,D,12500,2010,11.9,
227301,H,08320,2010,10.62,08017
227307,H,08007,2010,11.522,08022
227854,H,08195,2010,11.924,08173
226818,H,08011,2010,12.65,08036
227045,H,08901,2010,10.334,08901
228300,H,08025,2010,11.302,08024
228302,H,08024,2010,10.596,08024
226980,D,08018,2010,10.551,
228017,H,08172,2010,10.456,08174
228018,H,08860,2010,11.586,08850
229368,H,08172,2010,11.154,08034
229380,H,07002,2010,10.004,
228418,H,08820,2010,9.994,08950
226679,H,08261,2010,10.446,08261
228504,H,43700,2010,9.936,43700
227659,H,08025,2010,11.004,08021
228637,H,08027,2010,11.024,08030
227766,H,08202,2010,11.96,08034
227725,H,08202,2010,11.422,08205
227746,H,08029,2010,11.76,08017
227665,H,08015,2010,10.172,08021
227459,H,08901,2010,9.782,08907
229457,H,08013,2010,10.634,08009
227637,D,08022,2010,12.466,08035
228600,H,08005,2010,10.738,08034
226738,H,08036,2010,10.432,08173
232879,D,17003,2010,10.882,17003
229759,H,08025,2010,9.842,08012
227095,H,08960,2010,10.654,08034
227096,H,08009,2010,12.13,08034
243262,H,28001,2011,12.461,
227121,H,08017,2010,11.532,08021
245316,H,08032,2011,11.19,08034
243766,H,07015,2011,10.662,
245110,H,08025,2011,11.814,08012
245710,H,08980,2011,10.598,08017
245729,H,08025,2011,10.68,08022
244226,H,08005,2011,10.036,08029
243658,H,08017,2011,10,08017
244575,D,08756,2011,11.648,08757
243572,H,08023,2011,10.58,08022
243584,D,AD700,2011,11.13,
245737,D,08009,2011,11.118,08009
243759,D,20002,2011,12.472,
245174,H,08017,2011,12.938,08017
246391,D,08784,2011,11.16,08770
245832,H,08028,2011,10.974,08017
243536,H,07410,2011,10.57,
243899,H,43002,2011,11.396,43002
245017,D,25001,2011,12.986,25002
243956,H,17310,2011,10.208,17310
245372,H,08022,2011,11.508,08022
245649,D,08017,2011,12.208,08022
245663,H,08901,2011,9.818,08014
243436,H,08029,2011,9.722,08029
244531,H,17111,2011,11.648,17003
244533,H,08397,2011,11.298,17003
246095,H,08202,2011,10.8,08017
246098,H,08038,2011,11.55,08028
243999,H,17480,2011,10.568,17480
246132,H,08017,2011,11.89,08028
244892,H,08911,2011,11.87,08912
246151,H,08820,2011,9.864,08820
245590,D,08023,2011,12.804,08022
245591,H,08840,2011,10.294,08007
244708,H,08041,2011,11.524,08009
245402,H,08034,2011,12.204,08034
245404,H,08015,2011,11.156,08036
243929,D,AD400,2011,11.37,
245607,H,08017,2011,10.756,08035
245624,H,08012,2011,11.33,08023
244905,D,08380,2011,11.048,08380
244074,H,08023,2011,10.704,08013
261708,D,08015,2012,12.92,08023
262084,H,08980,2012,12.586,08980
261088,D,43791,2012,11.468,43750
250480,H,08025,2011,9.626,08025
249953,H,00000,2011,9.665,
251070,H,08029,2011,10.804,08017
254421,H,08500,2011,9.524,08500
250745,H,08034,2011,10.24,08017
248562,H,08030,2011,10.06,08008
249058,H,08022,2011,9.78,08017
260533,D,08027,2012,12.248,08031
259761,H,07720,2012,11.746,
260548,H,08310,2012,12.214,08302
258489,D,08912,2012,11.702,08912
258507,D,99999,2012,10.67,
258295,H,22430,2012,10.949,
261527,H,08037,2012,11.574,08001
259148,H,08320,2012,11.966,08320
260971,H,43005,2012,11.564,43007
260569,H,08700,2012,11.678,08719
261591,H,08904,2012,10.978,08950
259401,H,08640,2012,10.828,08640
261169,H,08172,2012,13.04,08017
261170,H,08023,2012,10.866,08034
262075,H,08030,2012,11.396,08030
261897,H,08017,2012,11.952,08017
261942,D,08700,2012,12.196,08700
261301,H,43002,2012,11.354,43003
261367,H,08530,2012,12.142,08530
261231,H,43700,2012,12.58,08770
261872,H,08460,2012,10.624,08460
261150,D,08221,2012,10.978,08021
261273,H,08031,2012,10.746,08032
260462,H,08440,2013,10.266,08530
260465,H,08021,2012,12.796,08017
264620,H,25700,2012,10.382,08022
265302,H,08755,2012,11.288,08755
264800,H,08027,2012,10.39,08027
264805,H,08940,2012,10.774,08017
264542,H,08904,2012,12.022,08850
258865,H,08859,2012,12.54,08850
258885,H,08035,2012,10.77,08035
259585,H,08035,2012,12.162,08034
258599,H,08924,2012,10.562,08924
258605,H,25199,2012,11.302,25111
260071,D,07190,2012,10.802,
259998,D,08006,2012,11.338,08034
260006,H,08025,2012,10.826,08025
258824,D,08291,2012,11.726,08291
259652,H,08490,2012,11.598,08380
258888,D,07820,2012,13.276,08017
260402,H,08012,2012,12.418,08006
258944,H,07703,2012,10.484,
259480,D,08034,2012,10.892,08022
259487,H,08700,2012,10.53,08700
258627,H,08005,2012,11.152,08916
260673,H,08391,2012,11.282,08390
258836,H,08023,2012,10.558,08034
258957,H,08870,2012,10.685,
260200,H,08820,2012,10.98,08023
275012,H,08025,2013,13.386,08034
274906,H,08790,2013,11.032,08022
265060,H,08340,2012,10.384,08302
269763,D,08021,2011,9.736,
269770,H,08830,2010,11.458,08830
264997,H,16200,2012,11.468,
275244,H,08026,2014,10.44,08010
275937,H,08005,2015,10.352,08005
276673,H,08027,2013,10.054,08030
275267,H,43716,2013,13.092,43700
276713,D,08503,2013,11.374,08500
275374,H,08940,2015,10.058,08940
275968,H,08430,2013,10.542,08400
275652,H,08640,2013,9.962,08640
275297,H,08038,2013,10.17,08004
275397,H,46780,2013,11.18,
276949,H,08025,2013,11.346,08009
276951,H,25003,2013,11.022,25002
276491,H,17002,2013,11.116,17005
275080,D,08012,2013,11.686,08034
275060,H,08011,2013,10.424,08034
274958,H,08015,2013,10.752,08034
276146,H,08500,2013,12.85,08500
275023,H,08032,2012,11.59,08034
274965,H,43870,2013,12.07,43870
274785,H,08840,2015,10.03,
273880,H,08711,2013,9.514,08700
274308,D,08021,2013,11.66,08021
274825,H,08020,2013,10.22,08027
273958,H,25006,2013,12.186,25003
274159,D,25700,2013,12.308,25700
274172,H,08796,2013,12.668,08770
273970,H,08796,2013,10.466,08770
280215,H,08027,2013,11.986,08030
277854,D,25300,2013,11.104,25300
277884,H,08450,2013,10.166,08440
277051,H,08560,2013,9.946,08560
276304,H,08403,2013,9.93,08401
276397,H,08640,2013,11.212,08640
276442,H,08023,2013,11.92,08017
276260,H,08870,2013,12.45,
276292,H,08011,2013,10.62,08010
278138,H,08019,2013,9.93,08007
278286,H,08402,2013,10.71,08401
277339,H,08290,2013,11.586,08290
277512,H,25740,2013,10.27,25740
277913,H,08450,2013,10.444,08520
277021,H,43870,2013,11.198,43870
279025,H,08401,2013,11.972,08440
279047,H,08914,2013,11.834,08911
277288,H,43203,2013,11.856,43206
278971,H,08330,2013,11.126,08330
277630,H,08540,2013,11.344,08540
278194,H,08174,2013,11.69,08173
278214,H,08756,2013,11.558,08757
276968,H,17002,2013,12.552,17002
276983,H,08770,2012,11.32,08770
277493,H,08022,2013,11.788,08034
292917,H,08173,2014,12.41,
292926,H,08025,2014,12.06,08032
292931,H,08014,2014,10.512,08014
289280,H,08021,2014,10.452,08034
289283,H,08172,2014,10.896,08173
289286,H,08690,2014,12.766,08034
289290,H,08008,2014,12.31,
289293,H,08029,2014,12.02,08034
289302,H,08015,2014,11.13,08034
289303,H,43001,2014,10.776,43003
289245,H,08025,2014,10.558,08017
289249,H,07350,2014,11.106,
289154,H,08197,2014,10.03,
289159,H,08470,2014,9.828,08470
289161,H,22500,2014,9.39,25111
289255,D,08022,2014,12.274,08022
289260,D,17003,2014,10.002,17002
289322,H,08010,2014,11.144,08010
289334,H,08017,2014,11.372,08034
288983,H,08017,2014,9.882,08174
289003,H,43001,2014,11.23,43120
289179,H,08034,2014,9.732,08017
289181,D,08023,2014,12.668,08022
289187,H,08025,2014,11.036,08032
289194,H,08302,2014,11.79,08303
289100,H,08870,2014,11.846,08870
289101,H,25004,2014,12.224,25008
289022,H,07190,2014,11.954,
289028,H,08183,2014,11.788,08036
289127,H,08980,2014,9.904,08980
289036,H,08014,2014,9.886,08014
289401,H,08022,2014,9.576,08023
289410,H,25005,2014,12.512,25008
289212,H,25110,2014,10.498,25111
289220,H,08037,2014,13.3,
289227,H,08013,2014,12.074,08009
289241,H,08023,2014,9.864,08017
289060,H,07141,2014,12.126,
289068,H,43500,2014,11.484,43500
289087,H,08015,2014,10.924,08015
289378,H,43500,2014,12.506,43500
289096,H,08348,2014,9.71,08301
289268,H,08037,2014,11.076,08034
289270,H,08010,2014,12.08,
