,CODEX,SEX,CPF,ANY,SELE,CPE
0,230661,D,08328,2010,10.05,8034.0
1,230310,H,08390,2010,12.335999999999999,8390.0
2,228108,H,17310,2010,10.294,17310.0
3,226494,H,08005,2010,11.027999999999999,8005.0
4,228260,H,08401,2010,10.47,8401.0
5,228315,D,08029,2010,12.074000000000002,8028.0
6,228439,H,08700,2010,10.694,8700.0
7,229037,H,99999,2010,10.255,
8,228188,D,08818,2010,10.556,8810.0
9,228204,H,08970,2010,9.937999999999999,8960.0
10,227829,D,08820,2010,11.107999999999999,8902.0
11,227008,H,08025,2010,10.44,8009.0
12,228474,H,08105,2010,11.538,8100.0
13,228229,H,08350,2010,12.494000000000002,8350.0
14,229400,D,12500,2010,11.9,
15,227301,H,08320,2010,10.62,8017.0
16,227307,H,08007,2010,11.522,8022.0
17,227854,H,08195,2010,11.924000000000001,8173.0
18,226818,H,08011,2010,12.65,8036.0
20,228300,H,08025,2010,11.302,8024.0
21,228302,H,08024,2010,10.595999999999998,8024.0
22,226980,D,08018,2010,10.550999999999998,
23,228017,H,08172,2010,10.456,8174.0
24,228018,H,08860,2010,11.585999999999999,8850.0
25,229368,H,08172,2010,11.154000000000002,8034.0
26,229380,H,07002,2010,10.004,
27,228418,H,08820,2010,9.994,8950.0
28,226679,H,08261,2010,10.446,8261.0
29,228504,H,43700,2010,9.936,43700.0
30,227659,H,08025,2010,11.004000000000001,8021.0
31,228637,H,08027,2010,11.024000000000001,8030.0
32,227766,H,08202,2010,11.96,8034.0
33,227725,H,08202,2010,11.422,8205.0
34,227746,H,08029,2010,11.76,8017.0
35,227665,H,08015,2010,10.172,8021.0
36,227459,H,08901,2010,9.782,8907.0
37,229457,H,08013,2010,10.634,8009.0
38,227637,D,08022,2010,12.466,8035.0
39,228600,H,08005,2010,10.738,8034.0
40,226738,H,08036,2010,10.432,8173.0
41,232879,D,17003,2010,10.882,17003.0
42,229759,H,08025,2010,9.842,8012.0
43,227095,H,08960,2010,10.654000000000002,8034.0
44,227096,H,08009,2010,12.13,8034.0
45,243262,H,28001,2011,12.460999999999999,
46,227121,H,08017,2010,11.532,8021.0
47,245316,H,08032,2011,11.19,8034.0
48,243766,H,07015,2011,10.662,
49,245110,H,08025,2011,11.814,8012.0
50,245710,H,08980,2011,10.597999999999999,8017.0
51,245729,H,08025,2011,10.68,8022.0
52,244226,H,08005,2011,10.036,8029.0
53,243658,H,08017,2011,10.0,8017.0
54,244575,D,08756,2011,11.648,8757.0
55,243572,H,08023,2011,10.58,8022.0
56,243584,D,AD700,2011,11.13,
57,245737,D,08009,2011,11.118,8009.0
58,243759,D,20002,2011,12.472000000000001,
59,245174,H,08017,2011,12.937999999999999,8017.0
60,246391,D,08784,2011,11.16,8770.0
61,245832,H,08028,2011,10.974,8017.0
62,243536,H,07410,2011,10.57,
63,243899,H,43002,2011,11.395999999999999,43002.0
64,245017,D,25001,2011,12.985999999999999,25002.0
65,243956,H,17310,2011,10.208,17310.0
66,245372,H,08022,2011,11.508,8022.0
67,245649,D,08017,2011,12.208,8022.0
68,245663,H,08901,2011,9.818,8014.0
69,243436,H,08029,2011,9.722000000000001,8029.0
70,244531,H,17111,2011,11.648,17003.0
71,244533,H,08397,2011,11.298,17003.0
72,246095,H,08202,2011,10.8,8017.0
73,246098,H,08038,2011,11.55,8028.0
74,243999,H,17480,2011,10.568,17480.0
75,246132,H,08017,2011,11.89,8028.0
76,244892,H,08911,2011,11.87,8912.0
77,246151,H,08820,2011,9.863999999999999,8820.0
78,245590,D,08023,2011,12.804,8022.0
79,245591,H,08840,2011,10.294,8007.0
80,244708,H,08041,2011,11.524000000000001,8009.0
81,245402,H,08034,2011,12.204,8034.0
82,245404,H,08015,2011,11.155999999999999,8036.0
83,243929,D,AD400,2011,11.37,
84,245607,H,08017,2011,10.755999999999998,8035.0
85,245624,H,08012,2011,11.33,8023.0
86,244905,D,08380,2011,11.048,8380.0
87,244074,H,08023,2011,10.704,8013.0
88,261708,D,08015,2012,12.92,8023.0
89,262084,H,08980,2012,12.585999999999999,8980.0
90,261088,D,43791,2012,11.468,43750.0
91,250480,H,08025,2011,9.626,8025.0
92,249953,H,00000,2011,9.665,
93,251070,H,08029,2011,10.804,8017.0
94,254421,H,08500,2011,9.524,8500.0
95,250745,H,08034,2011,10.24,8017.0
96,248562,H,08030,2011,10.06,8008.0
97,249058,H,08022,2011,9.78,8017.0
98,260533,D,08027,2012,12.248,8031.0
99,259761,H,07720,2012,11.745999999999999,
100,260548,H,08310,2012,12.214,8302.0
101,258489,D,08912,2012,11.702,8912.0
102,258507,D,99999,2012,10.67,
103,258295,H,22430,2012,10.949000000000002,
104,261527,H,08037,2012,11.574000000000002,8001.0
